title,author,category,rating,year,description
The Pragmatic Programmer,David Thomas,Technology,4.8,1999,"A guide for software developers covering best practices, principles, and tips for writing clean, maintainable code. Discusses topics from career development to debugging strategies."
Clean Code,Robert C. Martin,Technology,4.7,2008,"A handbook of agile software craftsmanship that teaches programmers how to write readable, maintainable code. Covers naming conventions, functions, comments, and refactoring."
Designing Data-Intensive Applications,Martin Kleppmann,Technology,4.9,2017,"An in-depth exploration of the principles and trade-offs involved in building reliable, scalable, and maintainable data systems. Covers databases, distributed systems, and stream processing."
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,4.7,1979,"A comedic science fiction series following Arthur Dent as he is whisked across the universe after Earth is demolished to make way for a hyperspace bypass."
Dune,Frank Herbert,Science Fiction,4.8,1965,"An epic science fiction saga set in a distant future on the desert planet Arrakis, exploring themes of politics, religion, ecology, and human potential through the story of Paul Atreides."
Neuromancer,William Gibson,Science Fiction,4.5,1984,"A seminal cyberpunk novel following a washed-up computer hacker hired for one last job, set in a gritty future where corporations rule and cyberspace is a tangible reality."
Foundation,Isaac Asimov,Science Fiction,4.7,1951,"A science fiction epic about the fall of a galactic empire and the efforts of mathematician Hari Seldon to reduce the dark ages that follow using psychohistory."
Ender's Game,Orson Scott Card,Science Fiction,4.6,1985,"A young boy genius named Ender Wiggin is trained through increasingly difficult war games to lead Earth's fleet against an alien invasion, blurring the line between simulation and reality."
The Name of the Wind,Patrick Rothfuss,Fantasy,4.8,2007,"The first book in the Kingkiller Chronicle, following the legendary wizard Kvothe as he recounts his life story from his humble beginnings to his rise as a famous musician and magician."
A Game of Thrones,George R.R. Martin,Fantasy,4.7,1996,"The first book in the A Song of Ice and Fire series, set in the fictional continents of Westeros and Essos, following multiple noble houses in a struggle for the Iron Throne."
The Way of Kings,Brandon Sanderson,Fantasy,4.8,2010,"An epic fantasy novel and first book in the Stormlight Archive, set in a world ravaged by magical storms, following multiple characters connected by an ancient war and prophecy."
The Hobbit,J.R.R. Tolkien,Fantasy,4.8,1937,"The classic fantasy adventure of Bilbo Baggins, a homebody hobbit who is swept into an epic quest to reclaim a dwarf kingdom from the dragon Smaug, guided by the wizard Gandalf."
Sapiens,Yuval Noah Harari,Non-Fiction,4.6,2011,"A sweeping narrative of humanity's history from the Stone Age to the modern era, examining how Homo sapiens came to dominate Earth through cognitive revolution, agriculture, and empire."
Thinking Fast and Slow,Daniel Kahneman,Non-Fiction,4.6,2011,"A groundbreaking exploration of the two systems that drive human thinking: fast, intuitive, emotional thinking versus slow, deliberate, logical reasoning, and how they shape our judgments."
Atomic Habits,James Clear,Non-Fiction,4.8,2018,"A practical guide on how tiny changes in behavior can lead to remarkable results. Provides a proven framework for building good habits and breaking bad ones through identity-based change."
The Lean Startup,Eric Ries,Business,4.5,2011,"A methodology for building startups and new corporate ventures that advocates for validated learning, rapid experimentation, and iterative product releases to shorten development cycles."
Zero to One,Peter Thiel,Business,4.5,2014,"Notes on startups and how to build the future, arguing that true innovation means creating something new rather than copying what already exists, from 0 to 1."
Good to Great,Jim Collins,Business,4.6,2001,"An investigation into why some companies make the leap to greatness and others don't, based on a five-year research project comparing companies that sustained excellence versus those that didn't."
Deep Work,Cal Newport,Productivity,4.6,2016,"An argument for the importance of focused, uninterrupted work in a distracted world. Provides rules for developing a deep work habit to produce high quality work efficiently."
The 7 Habits of Highly Effective People,Stephen Covey,Productivity,4.6,1989,"A principle-centered approach for solving personal and professional problems through seven habits of effectiveness that align character, competence, and contribution."
Getting Things Done,David Allen,Productivity,4.4,2001,"A time management method that advocates capturing all tasks and ideas in an external system, so the mind is free to focus on actually performing tasks rather than remembering them."
Man's Search for Meaning,Viktor Frankl,Psychology,4.8,1946,"A Holocaust survivor's memoir and introduction to logotherapy, arguing that the primary motivational force in humans is the search for meaning in life, even amid unavoidable suffering."
Influence,Robert Cialdini,Psychology,4.6,1984,"An examination of the psychology of compliance, identifying six universal principles of persuasion: reciprocity, commitment, social proof, authority, liking, and scarcity."
The Power of Now,Eckhart Tolle,Spirituality,4.5,1997,"A guide to spiritual enlightenment focusing on the importance of living in the present moment and transcending thoughts of past and future that cause unnecessary suffering."
Meditations,Marcus Aurelius,Philosophy,4.8,180,"Personal writings of the Roman emperor Marcus Aurelius reflecting on Stoic philosophy, duty, virtue, and the nature of the universe, written as private notes to himself."
The Republic,Plato,Philosophy,4.5,-380,"A Socratic dialogue exploring justice, beauty, equality, politics, and metaphysics, presenting Plato's vision of an ideal city-state governed by philosopher-kings."
Crime and Punishment,Fyodor Dostoevsky,Fiction,4.7,1866,"A psychological novel following a destitute student who commits a murder and then grapples with guilt, paranoia, and the psychological consequences of his actions in St. Petersburg."
1984,George Orwell,Fiction,4.7,1949,"A dystopian novel set in a totalitarian future society where Big Brother and the Party control every aspect of life, language, and thought through propaganda and surveillance."
Brave New World,Aldous Huxley,Fiction,4.5,1932,"A dystopian novel depicting a futuristic World State where citizens are conditioned for contentment and social stability through genetic engineering, conditioning, and soma drugs."
The Great Gatsby,F. Scott Fitzgerald,Fiction,4.4,1925,"A portrait of the Jazz Age in all of its decadence and excess, following the mysterious millionaire Jay Gatsby and his obsession with the beautiful Daisy Buchanan."
To Kill a Mockingbird,Harper Lee,Fiction,4.8,1960,"A novel set in the American South during the 1930s, seen through the eyes of young Scout Finch, whose father Atticus defends a Black man falsely accused of raping a white woman."
The Alchemist,Paulo Coelho,Fiction,4.5,1988,"A philosophical novel following a young Andalusian shepherd named Santiago on his journey to find treasure, discovering that the secret of happiness lies in looking into our hearts."
The Subtle Art of Not Giving a Fck,Mark Manson,Self-Help,4.5,2016,"A counterintuitive approach to living a good life, arguing that improving our lives hinges not on positive thinking but on learning to focus on what truly matters."
You Are a Badass,Jen Sincero,Self-Help,4.4,2013,"A self-help book that helps readers identify and change self-sabotaging beliefs and behaviors to create a life they love through humor, inspiration, and irreverence."
The Four Hour Work Week,Timothy Ferriss,Self-Help,4.3,2007,"A guide to escaping the 9-5 rat race through automation, outsourcing, and lifestyle design, advocating for mini-retirements and a new rich lifestyle rather than deferred retirement."
Cosmos,Carl Sagan,Science,4.8,1980,"An exploration of the universe and humanity's place in it, tracing the origins of scientific knowledge and celebrating the wonders of the cosmos from the Big Bang to the present."
A Brief History of Time,Stephen Hawking,Science,4.6,1988,"An accessible overview of modern physics and cosmology, covering the Big Bang, black holes, light cones, and the nature of time for a non-specialist audience."
The Selfish Gene,Richard Dawkins,Science,4.6,1976,"A revolutionary look at evolution from the gene's perspective, arguing that genes are the fundamental unit of natural selection and that organisms are vehicles for gene propagation."
Guns Germs and Steel,Jared Diamond,History,4.6,1997,"An analysis of why certain civilizations came to dominate others, arguing that environmental and geographical factors rather than racial or cultural superiority explain these disparities."
The Art of War,Sun Tzu,History,4.6,-500,"An ancient Chinese military treatise attributed to general Sun Tzu, consisting of 13 chapters on warfare strategy and tactics, widely applied to business and competitive situations."
